step,time,loss,acc
4300,2021-04-25T14:44:26.054234,3.103356e-01,8.671875e-01
4350,2021-04-25T14:44:34.224390,3.578938e-01,8.359375e-01
4400,2021-04-25T14:44:42.434440,2.227236e-01,8.984375e-01
4450,2021-04-25T14:44:50.557721,2.215776e-01,9.218750e-01
4500,2021-04-25T14:44:58.684992,2.557358e-01,8.984375e-01
4550,2021-04-25T14:45:07.292934,2.631599e-01,8.750000e-01
4600,2021-04-25T14:45:15.476104,3.266528e-01,8.750000e-01
4650,2021-04-25T14:45:23.604373,2.886306e-01,8.593750e-01
4700,2021-04-25T14:45:31.704716,3.003368e-01,8.437500e-01
4750,2021-04-25T14:45:39.852930,2.107961e-01,9.140625e-01
4800,2021-04-25T14:45:47.985188,2.870046e-01,8.593750e-01
4850,2021-04-25T14:45:56.170304,2.195707e-01,8.984375e-01
4900,2021-04-25T14:46:04.334476,2.701644e-01,8.750000e-01
4950,2021-04-25T14:46:12.473715,2.391591e-01,8.828125e-01
5000,2021-04-25T14:46:20.601983,2.113803e-01,9.140625e-01
5050,2021-04-25T14:46:29.320965,2.918699e-01,8.671875e-01
5100,2021-04-25T14:46:37.667034,2.052763e-01,9.140625e-01
5150,2021-04-25T14:46:46.145367,2.317257e-01,9.218750e-01
5200,2021-04-25T14:46:54.519976,1.863258e-01,9.296875e-01
5250,2021-04-25T14:47:02.794852,2.236221e-01,9.062500e-01
5300,2021-04-25T14:47:11.139542,3.221329e-01,9.218750e-01
5350,2021-04-25T14:47:19.716910,2.969034e-01,8.906250e-01
5400,2021-04-25T14:47:28.542387,2.750582e-01,9.218750e-01
5450,2021-04-25T14:47:37.274789,2.698976e-01,8.906250e-01
5500,2021-04-25T14:47:45.941653,1.599566e-01,9.296875e-01
5550,2021-04-25T14:47:55.084014,2.615848e-01,9.062500e-01
5600,2021-04-25T14:48:03.962680,2.623889e-01,8.671875e-01
5650,2021-04-25T14:48:12.680348,2.875204e-01,8.593750e-01
5700,2021-04-25T14:48:21.368638,2.749501e-01,9.062500e-01
5750,2021-04-25T14:48:30.078454,2.481560e-01,8.750000e-01
5800,2021-04-25T14:48:38.828525,2.818250e-01,8.906250e-01
5850,2021-04-25T14:48:47.596370,3.130092e-01,8.593750e-01
